Id,1stFlrSF,GrLivArea,SalePrice
1,856,1710,208500
2,1262,1262,181500
3,920,1786,223500
4,961,1717,140000
5,1145,2198,250000
6,796,1362,143000
7,1694,1694,307000
8,1107,2090,200000
9,1022,1774,129900
10,1077,1077,118000
11,1040,1040,129500
12,1182,2324,345000
13,912,912,144000
14,1494,1494,279500
15,1253,1253,157000
16,854,854,132000
17,1004,1004,149000
18,1296,1296,90000
19,1114,1114,159000
20,1339,1339,139000
21,1158,2376,325300
22,1108,1108,139400
23,1795,1795,230000
24,1060,1060,129900
25,1060,1060,154000
26,1600,1600,256300
27,900,900,134800
28,1704,1704,306000
29,1600,1600,207500
30,520,520,68500
31,649,1317,40000
32,1228,1228,149350
33,1234,1234,179900
34,1700,1700,165500
35,1561,1561,277500
36,1132,2452,309000
37,1097,1097,145000
38,1297,1297,153000
39,1057,1057,109000
40,1152,1152,82000
41,1324,1324,160000
42,1328,1328,170000
43,884,884,144000
44,938,938,130250
45,1150,1150,141000
46,1752,1752,319900
47,1518,2149,239686
48,1656,1656,249700
49,736,1452,113000
50,955,955,127000
51,794,1470,177000
52,816,1176,114500
53,816,816,110000
54,1842,1842,385000
55,1360,1360,130000
56,1425,1425,180500
57,983,1739,172500
58,860,1720,196500
59,1426,2945,438780
60,780,780,124900
61,1158,1158,158000
62,581,1111,101000
63,1370,1370,202500
64,902,1710,140000
65,1057,2034,219500
66,1143,2473,317000
67,2207,2207,180000
68,1479,1479,226000
69,747,747,80000
70,1304,2287,225000
71,2223,2223,244000
72,845,845,129500
73,885,1718,185000
74,1086,1086,144900
75,840,1605,107400
76,526,988,91000
77,952,952,135750
78,1072,1285,127000
79,1768,1768,136500
80,682,1230,110000
81,1182,2142,193500
82,1337,1337,153500
83,1563,1563,245000
84,1065,1065,126500
85,804,1474,168500
86,1301,2417,260000
87,684,1560,174000
88,612,1224,164500
89,1013,1526,85000
90,990,990,123600
91,1040,1040,109900
92,1235,1235,98600
93,964,964,163500
94,1260,2291,133900
95,905,1786,204750
96,680,1470,185000
97,1588,1588,214000
98,960,960,94750
99,835,835,83000
100,1225,1225,128950
101,1610,1610,205000
102,977,1732,178000
103,1535,1535,118964
104,1226,1226,198900
105,1226,1818,169500
106,1053,1992,250000
107,1047,1047,100000
108,789,789,115000
109,997,1517,115000
110,1844,1844,190000
111,1216,1855,136900
112,774,1430,180000
113,1282,2696,383970
114,2259,2259,217000
115,1436,2320,259500
116,729,1458,176000
117,1092,1092,139000
118,1125,1125,155000
119,1699,3222,320000
120,728,1456,163990
121,988,988,180000
122,772,1123,100000
123,1080,1080,136000
124,1199,1199,153900
125,1586,1586,181000
126,520,754,84500
127,958,958,128000
128,840,840,87000
129,660,1348,155000
130,1053,1053,150000
131,1216,2157,226000
132,1022,2054,244000
133,1327,1327,150750
134,1296,1296,220000
135,1721,1721,180000
136,1682,1682,174000
137,1214,1214,143000
138,1959,1959,171000
139,1004,1852,230000
140,928,1764,231500
141,864,864,115000
142,1734,1734,260000
143,910,1385,166000
144,1501,1501,204000
145,1728,1728,125000
146,970,1709,130000
147,875,875,105000
148,884,2035,222500
149,1080,1080,141000
150,896,1344,115000
151,969,969,122000
152,1710,1710,372402
153,1097,1993,190000
154,1252,1252,235000
155,1200,1200,125000
156,572,1096,79000
157,1040,1040,109500
158,774,1968,269500
159,991,1947,254900
160,1392,2462,320000
161,1232,1232,162500
162,1572,2668,412500
163,1541,1541,220000
164,882,882,103200
165,1149,1616,152000
166,808,1355,127500
167,1867,1867,190000
168,1610,2161,325624
169,840,1720,183500
170,1707,1707,228000
171,854,1382,128500
172,1656,1656,215000
173,1064,1767,239000
174,1362,1362,163000
175,1651,1651,184000
176,2158,2158,243000
177,1164,2060,211000
178,1252,1920,172500
179,2234,2234,501837
180,968,968,100000
181,769,1525,177000
182,901,1802,200100
183,1340,1340,120000
184,1362,2082,200000
185,936,1252,127000
186,1518,3608,475000
187,1217,1217,173000
188,808,1656,135000
189,1224,1224,153337
190,1593,1593,286000
191,1549,2727,315000
192,725,1479,184000
193,1431,1431,192000
194,970,1709,130000
195,864,864,127000
196,855,1456,148500
197,1726,1726,311872
198,1360,3112,235000
199,929,2229,104000
200,1713,1713,274900
201,1121,1121,140000
202,1279,1279,171500
203,865,1310,112000
204,848,848,149000
205,720,1284,110000
206,1442,1442,180500
207,1696,1696,143900
208,1100,1100,141000
209,1180,2062,277000
210,1092,1092,145000
211,864,864,98000
212,1212,1212,186000
213,932,1852,252678
214,990,990,156000
215,689,1392,161750
216,1236,1236,134450
217,1436,1436,210000
218,810,1328,107000
219,1137,1954,311500
220,1248,1248,167240
221,1498,1498,204900
222,1010,2267,200000
223,811,1552,179900
224,864,864,97000
225,2392,2392,386250
226,630,1302,112000
227,1214,2520,290000
228,483,987,106000
229,912,912,125000
230,1555,1555,192500
231,1194,1194,148000
232,1490,2794,403000
233,483,987,94500
234,894,894,128200
235,860,1960,216500
236,483,987,89500
237,1414,1414,185500
238,1014,1744,194500
239,1694,1694,318000
240,798,1487,113000
241,1566,1566,262500
242,866,866,110500
243,889,1440,79000
244,626,1217,120000
245,1222,2110,205000
246,1872,1872,241500
247,908,1928,137000
248,1375,1375,140000
249,840,1668,180000
250,1444,2144,277000
251,1306,1306,76500
252,1625,1625,235000
253,798,1640,173000
254,1302,1302,158000
255,1314,1314,145000
256,1005,2291,230000
257,864,1728,207500
258,1604,1604,220000
259,963,1792,231500
260,882,882,97000
261,1382,1382,176000
262,1482,2574,276000
263,1212,1212,151000
264,926,1316,130000
265,764,764,73000
266,1422,1422,175500
267,802,1511,185000
268,1052,2192,179500
269,778,778,120500
270,1113,1113,148000
271,1095,1939,266000
272,1363,1363,241500
273,1164,2270,290000
274,1632,1632,139000
275,816,816,124500
276,952,1548,205000
277,1560,1560,201000
278,864,864,141000
279,2121,2121,415298
280,1156,2022,192000
281,1175,1982,228500
282,1262,1262,185000
283,1314,1314,207500
284,1468,1468,244600
285,1575,1575,179200
286,625,1250,164700
287,1085,1734,159000
288,858,858,88000
289,900,900,122000
